,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
249,45701,457,0,44,1.0,18.0,200.0,1.0,10,56.0,1,0,0.0,0
250,45801,458,0,46,1.0,16.0,354.0,1.0,10,44.0,1,0,0.0,0
251,45901,459,0,45,1.0,18.0,200.0,1.0,10,54.0,1,1,58.0,0
252,45902,459,1,42,0.0,12.0,160.0,1.0,20,58.0,1,1,54.0,0
254,46601,466,0,38,1.0,6.0,70.0,1.0,10,77.0,1,0,0.0,1
255,46803,468,0,43,1.0,12.0,150.0,1.0,10,48.0,1,0,0.0,0
256,46901,469,0,30,1.0,16.0,150.0,1.0,10,48.0,1,1,43.0,0
257,46902,469,1,28,1.0,14.0,100.0,1.0,20,43.0,1,1,48.0,0
258,47101,471,0,39,1.0,14.0,130.0,1.0,10,46.0,1,0,0.0,1
259,47301,473,0,40,1.0,12.0,80.0,1.0,10,85.0,1,0,0.0,1
260,47401,474,0,37,1.0,12.0,150.0,0.0,10,54.0,1,0,0.0,0
261,47501,475,0,32,0.0,12.0,100.0,1.0,10,48.0,1,0,0.0,2
262,47601,476,0,50,1.0,16.0,280.0,1.0,10,56.0,1,0,0.0,0
263,47801,478,0,30,1.0,18.0,130.0,1.0,10,59.0,1,0,0.0,0
264,47901,479,0,34,1.0,12.0,120.0,1.0,10,60.0,1,0,0.0,2
265,48101,481,0,40,1.0,14.0,170.0,1.0,10,51.0,1,0,0.0,0
266,48201,482,0,68,1.0,9.0,75.0,1.0,10,77.0,1,0,0.0,0
267,48401,484,0,36,1.0,14.0,130.0,1.0,10,68.0,1,0,0.0,1
268,48701,487,0,43,1.0,9.0,130.0,1.0,10,76.0,1,1,84.0,0
269,48702,487,1,38,1.0,6.0,70.0,1.0,20,84.0,1,1,76.0,0
270,48801,488,1,64,1.0,6.0,60.0,0.0,10,50.0,1,0,0.0,0
