단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
동부2권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,87486.79805,88558.31263,91082.06406,92957.98508,94091.35581,93365.47234
이천시,77410.9882,79108.27528,84008.7891,80598.44234,80688.50025,84391.86949,85373.46979,86097.90234,88487.8517,91685.69111,94131.16093,93576.44127
여주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,92761.79852,92294.18644,93342.85101,94069.22919,94163.00503,93396.72699
경의권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,144250.0067,145358.1812,156232.5187,169298.5308,178280.392,178027.7699
김포시,139413.1503,149028.956,144752.8859,140836.0665,145899.4271,144456.813,143062.829,146078.3186,158537.7915,171780.3299,179900.9851,177938.5776
고양시,127378.5649,134645.4149,134458.5665,131879.6873,133697.8438,139478.8874,142540.4708,143072.5275,153617.8132,167613.3585,177447.3768,177908.8469
덕양구,128111.9225,136579.1816,136162.575,132410.5625,134871.0729,144311.3541,147969.8302,149271.9717,157624.9654,169252.5715,177507.9597,177968.3084
일산동구,124257.0943,128604.6959,128222.2468,124704.3089,126323.2604,127955.3131,131507.6326,132661.8446,143777.8566,162665.08,176114.5526,177626.4047
일산서구,129465.8133,137131.6864,137444.9732,136914.4397,138055.5521,142032.4986,143933.426,143103.8378,155706.4833,169114.6938,178371.2664,178146.6929
파주시,130744.488,135860.9254,142328.6264,142959.5675,143871.4167,149887.2772,149188.666,150352.1779,160858.536,171366.6967,179083.1157,178265.6159
경원권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,92699.34173,93821.04015,96221.9136,99207.10829,103128.2652,103069.7426
포천시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,96704.52783,98255.753,99875.68248,101336.8576,103586.3781,103061.0958
동두천시,58484.43722,63868.35465,87397.18865,89799.82451,86103.904,91810.71516,94172.51363,95177.86195,96401.90221,99385.32998,102890.3988,102957.3343
양주시,59151.64326,63996.90552,75308.93024,76163.00147,74463.4985,81008.90155,90692.14502,91763.04199,94575.01777,98119.95593,102678.9621,103035.1554
의정부시,67639.37905,77912.53663,81899.73893,80486.14332,81619.32567,87279.40605,91870.68254,92810.25344,95636.9506,98868.48706,103242.7934,103164.8572
인천,90507.09061,96630.16944,100275.327,102694.9924,105115.068,106730.9811,106597.4538,108572.4659,114586.1257,119438.4666,122432.6944,122250.298
중구,95610.28811,100229.3189,99292.7113,98437.71495,102013.236,107311.344,107286.0961,111210.2914,116348.9892,119438.4666,121219.454,121665.1719
동구,114958.2888,116749.7967,119745.6754,119428.4579,117823.32,115380.6214,114314.6198,114410.2765,118934.5223,122337.1504,123625.0169,122465.8708
남구,98843.61172,104553.3855,110805.0855,112510.382,114339.546,115972.1452,115834.0051,116302.1595,118560.5816,121152.2869,123028.8557,122188.7058
연수구,88520.34959,96604.73375,87295.09475,85677.70841,92129.04,93695.13606,95590.10804,100172.5051,110654.406,118909.5097,123248.494,122814.8934
남동구,92675.62492,97177.03668,101828.1025,104610.7672,105497.01,109532.3485,109647.1554,112767.0409,117032.7665,120930.125,123070.6916,122506.9323
부평구,83183.41785,90016.89119,92511.44977,95871.52272,98413.722,99733.14304,98902.14952,101242.7704,109650.108,115619.3978,120309.5237,121829.4178
계양구,85066.27698,94239.215,101803.8403,102777.7728,105797.934,106530.0862,104990.6218,106561.6645,112278.3772,119353.8335,122903.3481,122311.8902
서구,87793.17641,91682.9286,97800.59115,102884.2047,104524.794,106217.5831,106673.9696,108042.7387,115066.9067,119449.0457,122223.5151,122055.256
부산,100589.4,99744.31576,97991.78266,98618.95761,105613.312,118694.814,122258.5924,121592.0792,121931.0182,123555.4386,125821.0354,126156.0578
중부산권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,116410.4767,115823.9414,115595.8226,117108.8416,118984.8083,119271.9675
중구,92751.36922,97232.28276,96323.68136,95494.25094,98962.8575,104102.5426,104078.0496,107884.9045,112869.946,115867.0425,117594.7752,118027.1653
서구,85168.00317,88941.44479,94876.17827,99807.78269,101399.3154,103041.4871,103484.2268,104812.0672,111626.2,115877.3053,118568.813,118405.5852
동구,111520.8301,113258.7687,116165.0652,115857.333,114300.1917,111930.5341,110896.4079,110989.2043,115378.167,118679.0504,119928.4075,118803.9219
영도구,111986.9173,110630.8691,108845.1715,109972.1155,114333.8754,118372.6571,120185.4931,119557.4911,119130.134,119407.7094,119796.5065,119052.8823
부산진구,95358.93862,94221.91898,90910.25517,90641.52771,97447.08875,109678.4978,114438.1367,114271.7915,114538.6385,116072.2985,118599.2517,119291.8843
남구,95888.01067,101427.052,107491.815,109146.1201,110920.5888,112504.3703,112370.3609,112824.5166,115015.4078,117529.6165,119350.0725,118535.0446
연제구,103635.1371,101402.3769,99159.84596,99670.11679,103633.6708,112331.1367,116781.616,115645.6539,115264.157,116821.4831,120293.6717,119849.5557
수영구,100775.6287,99983.55786,97618.19633,98557.31737,105025.9325,114951.2943,117089.1313,116054.6664,115751.2908,117180.6812,118923.931,119242.0922
동부산권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,137859.5463,137527.153,138314.4798,141407.071,146114.7324,146447.6266
해운대구,94731.19194,95077.70257,98071.92479,98737.73028,110444.62,129194.9181,132066.146,132041.4833,134530.9554,140036.75,146487.6009,146691.6043
금정구,119081.3827,117384.9175,114621.472,115053.4867,122094.258,138120.9196,143821.8125,142319.0846,142059.9151,143531.6972,146301.1666,146289.041
동래구,122213.885,119379.8717,117663.2442,119100.8062,124514.962,136171.258,140652.329,140815.9854,140599.8301,141658.5061,145580.2875,146240.2455
기장군,107076.0288,106155.7436,107197.2413,111554.2418,119260.934,133691.0764,139924.9065,139801.0723,138568.4076,140992.2032,145667.2902,146289.041
서부산권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,112645.1614,111557.97,112258.4523,112753.1961,113254.4401,113686.5458
북구,74128.66311,75499.22423,76284.38985,78635.31656,89532.60267,106551.1819,107655.1295,108544.7836,112960.8714,113419.3314,113777.4211,114066.7684
강서구,75331.07451,80092.06426,81328.07871,83606.8294,91225.94133,96330.12285,97422.02158,99905.64792,104779.1723,108521.2777,113060.7435,113078.1897
사상구,88653.79288,88429.8354,86630.13025,87603.75052,94644.77067,113310.1027,115975.2232,114040.5953,113010.3375,113429.1275,113758.0515,113724.5681
사하구,92778.06399,93140.44056,88843.06278,89739.09193,96209.50133,110292.3582,113626.9729,111798.224,111328.4889,111832.362,112489.3383,113420.39
대구,124481.7537,121328.7292,114394.8848,106306.9397,107451.4137,112503.5531,120055.682,127910.0638,137953.0481,145440.4897,146382.925,142614.2858
중구,110829.4017,116183.6835,115097.9879,114106.8944,118251.562,124393.0156,124363.7487,128912.592,134869.2606,138450.5167,140514.9993,141031.6659
동구,133257.1905,135333.8681,138806.6266,138438.9148,136578.2733,133746.7493,132511.0631,132621.9463,137866.3553,141810.609,143303.4764,141959.8189
서구,101767.973,106276.8905,113368.3542,119261.1703,121162.9063,123125.1512,123654.1848,125240.8326,133383.0979,138462.7798,141678.8854,141483.843
남구,114577.4013,121196.049,128442.886,130419.6292,132539.957,134432.4311,134272.3021,134814.9766,137432.8912,140437.1406,142612.419,141638.5352
북구,92796.85747,94512.5739,95495.47173,98438.44414,112080.0487,133384.5024,134766.4627,135880.1628,141408.3763,141982.2925,142430.5618,142792.7768
